timestamp,message
1687305098670,"INIT_START Runtime Version: nodejs:18.v7	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:26e9402591d9c467cdcc7355f843d61968f36ecb6e9ef5ab253cc21163343275
"
1687305098976,"START RequestId: b34cd638-d1e8-44db-a7bd-b3696f8ea596 Version: $LATEST
"
1687305099154,"2023-06-20T23:51:39.154Z	b34cd638-d1e8-44db-a7bd-b3696f8ea596	INFO	redis client ready
"
1687305099195,"2023-06-20T23:51:39.195Z	b34cd638-d1e8-44db-a7bd-b3696f8ea596	INFO	getBalanceRedis total time taken : 2 milliseconds
"
1687305099216,"2023-06-20T23:51:39.216Z	b34cd638-d1e8-44db-a7bd-b3696f8ea596	INFO	redis client disconnected
"
1687305099253,"END RequestId: b34cd638-d1e8-44db-a7bd-b3696f8ea596
"
1687305099253,"REPORT RequestId: b34cd638-d1e8-44db-a7bd-b3696f8ea596	Duration: 277.12 ms	Billed Duration: 278 ms	Memory Size: 128 MB	Max Memory Used: 87 MB	Init Duration: 305.30 ms	
"
1687305099478,"START RequestId: bcfe3752-63cf-4864-9320-465c3a611f01 Version: $LATEST
"
1687305099493,"2023-06-20T23:51:39.493Z	bcfe3752-63cf-4864-9320-465c3a611f01	INFO	redis client ready
"
1687305099495,"2023-06-20T23:51:39.495Z	bcfe3752-63cf-4864-9320-465c3a611f01	INFO	getBalanceRedis total time taken : 2 milliseconds
"
1687305099515,"2023-06-20T23:51:39.515Z	bcfe3752-63cf-4864-9320-465c3a611f01	INFO	redis client disconnected
"
1687305099533,"END RequestId: bcfe3752-63cf-4864-9320-465c3a611f01
"
1687305099533,"REPORT RequestId: bcfe3752-63cf-4864-9320-465c3a611f01	Duration: 55.36 ms	Billed Duration: 56 ms	Memory Size: 128 MB	Max Memory Used: 87 MB	
"
1687305099775,"START RequestId: ff0a5261-b98f-4da6-9183-f2403f6540dc Version: $LATEST
"
1687305099793,"2023-06-20T23:51:39.793Z	ff0a5261-b98f-4da6-9183-f2403f6540dc	INFO	redis client ready
"
1687305099795,"2023-06-20T23:51:39.795Z	ff0a5261-b98f-4da6-9183-f2403f6540dc	INFO	getBalanceRedis total time taken : 1 milliseconds
"
1687305099814,"2023-06-20T23:51:39.814Z	ff0a5261-b98f-4da6-9183-f2403f6540dc	INFO	redis client disconnected
"
1687305099815,"END RequestId: ff0a5261-b98f-4da6-9183-f2403f6540dc
"
1687305099815,"REPORT RequestId: ff0a5261-b98f-4da6-9183-f2403f6540dc	Duration: 40.19 ms	Billed Duration: 41 ms	Memory Size: 128 MB	Max Memory Used: 87 MB	
"
1687305100056,"START RequestId: e084c9d2-a476-4b5c-9608-c8903e560474 Version: $LATEST
"
1687305100060,"2023-06-20T23:51:40.060Z	e084c9d2-a476-4b5c-9608-c8903e560474	INFO	redis client ready
"
1687305100074,"2023-06-20T23:51:40.074Z	e084c9d2-a476-4b5c-9608-c8903e560474	INFO	getBalanceRedis total time taken : 14 milliseconds
"
1687305100093,"2023-06-20T23:51:40.093Z	e084c9d2-a476-4b5c-9608-c8903e560474	INFO	redis client disconnected
"
1687305100094,"END RequestId: e084c9d2-a476-4b5c-9608-c8903e560474
"
1687305100094,"REPORT RequestId: e084c9d2-a476-4b5c-9608-c8903e560474	Duration: 38.28 ms	Billed Duration: 39 ms	Memory Size: 128 MB	Max Memory Used: 87 MB	
"
